title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,source,destination,airlines
Lufthansa customer review,7.0,M Studzinski,2015-07-27,"Smooth check-in in Lisbon. TAP Lounge is closed now, and no alternative is offered for the moment. Flight delayed 30 mins due to late arrival from previous sector. Nice, but not overly friendly cabin crew. Only one FA looked presentable, others looked shabby and tired, but still, they always smiled. Nothing special about food - little tray with hot pasta, one bread roll and tiny Mars bar. Boring. IFE streaming to your own device was a nice touch, but flight itself is nothing to remember.",A321,Business,Economy Class,LIS to MUC,2015-07-01,3.0,3.0,2.0,4.0,2.0,3,yes,LIS,MUC,lufthansa
Lufthansa customer review,10.0,Michael Bucka,2015-07-27,"When I arrived at Washington Airport from Tampa, easy connection with the new Subway-Skytrain to the Terminal with the Lufthansa Lounge. Gate to Munich is right next to the Lounge. Warm welcome from the ground staff, excellent food and wine. Easy boarding process for First Class due to a direct door from the lounge to the jet bridge of the plane. Very warm welcome from the cabin team. Very good food on board with excellent Service. One hour before landing I got my wake up call with a easy and lite breakfast. Overall a great flight. Easy and fast Immigration in Munich with Custom/Federal Police office in the Lufthansa Lounge. Pick up with the Limousine worked perfect to the small Airplane to Nürnberg,like everything worked out on this trip.",A330 ,Solo Leisure,First Class,Washington to Nuernberg via Munich,2015-07-01,5.0,5.0,5.0,5.0,5.0,4,yes,Washington,Nuernberg ,lufthansa
Lufthansa customer review,7.0,Michel Perrin,2015-07-24,"MRS-FRA Business class on an old Boeing 737, but breakfast was surprisingly delicious. Connecting in FRA extremely stressful (this airport is now worse than CDG), I had 60 mn to do it. It took 30 mins only to arrive at terminal, due to very very remote parking plus a lot of airplane traffic that stopped our bus. Then a long queue at Immigration, and very remote finger (Z62). Boarding had started when I arrived. Service on upper deck (FRA to KIX) was pleasant but slow, the food was delicious. Brand new flat seats, a bit too narrow, but pleasant anyway. Wine list : the weakest point. Germany has so many nice wines they could have offered but Italian and Chilean instead. Champagne at high standards. Luggage quickly delivered.",Boeing 747 / Boeing 747,Solo Leisure,Business Class,MRS-KIX via FRA,2015-07-01,4.0,4.0,3.0,3.0,2.0,3,yes,-,-,lufthansa
Lufthansa customer review,10.0,Basil Dudin,2015-07-22,"Boarded flight LH471 from Toronto Pearson to Frankfurt then LH632 from Frankfurt onto Amman. Used online check-in which was quite user friendly and smooth. Travelled with my disabled mother. She was helped into her seat by the very friendly cabin crew who escorted her from the aircraft entrance and I was helped with my onboard luggage. During the flight the flight attendants helped my mother with the food, something that I greatly appreciated. Upon arrival in Frankfurt we were met by very friendly and professional Lufthansa ground services personnel who escorted her and myself all the way to the Sheraton Airport hotel as there was a 12 hour wait between both flights and later came to the hotel to pick us up for our onward journey. The flight to Amman was on a small Airbus 320 however the cabin crew were extremely professional and helped us throughout. I am very pleased with Lufthansa and will certainly fly them again.",B747-400/A321,Family Leisure,Business Class,YYZ to AMM via FRA,2015-04-01,5.0,5.0,5.0,5.0,5.0,4,yes,YYZ,AMM ,lufthansa
Lufthansa customer review,6.0,Rishad Patell,2015-07-21,Flew BOM to BCN via MUC in June with 2 friends. Tried to do the online check in and it only worked for one of our tickets. When we got the the airport the lines for check in were long so we all went to the online check in counter and they allowed us to check in. Flight on time and boarding was quick. They serve a horrible roll after take off at 1am which was inedible. Seats quite uncomfortable. Headsets can hardly hear and this looked like a new aircraft. Crew was pleasant enough. Overall uneventful flight. Landed in MUC on time with a 40 minute connection and had to run for our next flight which we made with moments to spare. LH did nothing to make the connection easier which they so proudly advertise. Service on MUC to BCN much nicer - sandwich was lovely and fresh as was the coffee.,A330,Couple Leisure,Economy Class,BOM to BCN via MUC,2015-06-01,2.0,3.0,1.0,3.0,4.0,3,no,BOM,BCN ,lufthansa
Lufthansa customer review,10.0,Christian Schroeder,2015-07-21,"Lufthansa had a cheap offer for their newly introduced premium economy. Even though I used to prefer airlines with a stop-over we used LH direct flight due to the short travel time. The newly launched connection FRA-KUL is really worth the extra money. Lufthansa is clean, efficient and friendly. The seats were very comfortable, screen was big and food was ok. I slept for a straight 8hr and my wife slept 9.5hrs. We were really pleased with the service and comfort of this new connection/product. I haven't been a big Lufthansa fan in the past but this somehow changed my mind. We will come back.",Airbus 340,Couple Leisure,Premium Economy,Berlin to Kuala Lumpur via Frankfurt,2015-07-01,5.0,5.0,3.0,4.0,4.0,5,yes,Berlin,Kuala Lumpur ,lufthansa
Lufthansa customer review,5.0,Rishad Patell,2015-07-21,Flew LH from LIS to FRA on a Boeing 737-800. Flight on time. Check in at LIS was a breeze and flight on time. Breakfast served was okay and service was nice on this 3 hour flight. Got to FRA with a 2 hour connection. Had to get from one end of the terminal to the other and we kind of ran as we were a bit lost. Got to our gate and sat down to wait. After 30 minutes of waiting and near the boarding time I went to the desk to ask the status and was told we were delayed 3 hours. They did not tell passengers unless they asked and they never showed any change of timing on the information boards. LH then started handing out 5 euro meal vouchers- nothing in the canteen nearby was available to eat for 5 euros! Flight finally left 4 hours late and arrived at 5am in Mumbai instead of 1am. The food was awful. Seats on the 747 as uncomfortable as the A330. Crew were polite.,Boeing 737/747,Couple Leisure,Economy Class,Lisbon to Mumbai via FRA,2015-07-01,2.0,2.0,1.0,3.0,3.0,3,no,Lisbon,Mumbai ,lufthansa
Lufthansa customer review,8.0,T Eldem,2015-07-20,"Check-in and boarding were efficient. On board it was a fresh looking A330 with new Business Class seats. These are an improvement over the older angled seats but they are inferior to pods found on other carriers. In the fully flat position there is little space for your feet and overall, the seat is narrow. Flight left late due to congestion at FRA and arrived slightly behind schedule. The service was fairly attentive with FA's smiling throughout the flight. The appetizer was delicious but my lunch selection was overcooked and was quite bland. There were a wide selection of spirits and drinks to choose from and the wines served were fairly good. Pre-arrival meal was tasty and the portions were quite big. The IFE had a poor selection of movies and lacked in the number of new releases for both movies and music although the Bose noise-cancelling headphones were a nice touch. Upon arrival luggage was delivered promptly topping off a good experience.",A330,Solo Leisure,Business Class,Frankfurt to Montreal,2015-07-01,3.0,4.0,3.0,2.0,4.0,4,yes,Frankfurt,Montreal,lufthansa
Lufthansa customer review,7.0,Margot Love,2015-07-19,My original flight for my return to NZ was to Shanghai however due to Thunderstorms at Frankfurt the Paris flight was delayed and arrived an hour and a half late causing missed connection to Shanghai. Hope was given to us by the crew as they said everything was delayed and so we had a good chance but this was a false hope. On the Paris flight the English announcements were hard to hear as the sound was not turned up loud enough to overcome all those that had understood the German announcement and were now talking loudly. Attendants on Dubai flight were friendly and professional. There was mixed customer care when hundreds filed in to the customer service area. Some received overnight kits some received juice and water and some did not. The processing of people got faster when a second area opened up downstairs. Again mixed customer service. I got great service with all vouchers explained as well as clearly written on what was what as well as a meal voucher where as a lady I buddied up with didn't get as good service and no meal voucher. On return to Frankfurt airport the next day for rebooking great professional staff sorting out re ticketing of new flights. Accommodation was supplied in Frankfurt and also at layover on Dubai. This was fabulous. Overall my experience of Lufthansa is very good. I would fly with them again.,A340,Solo Leisure,Economy Class,Paris to Dubai via Frankfurt,2015-07-01,4.0,4.0,4.0,4.0,4.0,4,yes,Paris,Dubai ,lufthansa
Lufthansa customer review,10.0,Linda Macauley,2015-07-19,"The short flight from Manchester was very good, staff very nice, friendly and very helpful. Frankfurt to Johannesburg I was seated in Economy as usual, but just before take-off it was announced that seats were available in Premier Economy at the extra cost of 300 Euros. I asked a flight attendantif I could look at the seats before I committed to paying the extra money and she kindly took me through - I was delighted to see seats in this class were far superior to Economy. I agreed to pay the extra, was moved to my new seat and from then on my flying experience turned out to be one of the best I had ever had, it was brilliant, I felt that I was treated like a VIP. The flight attendant couldn't have been more helpful and kinder. I would defintely recommend Premium Economy to anyone. Thank you Lufthansa and your staff.",Airbus A380,Solo Leisure,Premium Economy,Manchester to Johannesburg via Frankfurt,2015-06-01,5.0,5.0,5.0,5.0,5.0,5,yes,Manchester,Johannesburg ,lufthansa
Lufthansa customer review,7.0,S Diamantis,2015-07-17,"First time flying with Lufthansa for a long haul flight. Seats, food, and entertainment systems were on par with other European carriers. The real winner here was the international in-flight WiFi capabilities. The service was a bit hostile and pretentious at time. The meal service seemed a bit rushed and flight attendants nagging passengers to finish.",A330,Family Leisure,Economy Class,IAD to ATH via MUC,2015-07-01,3.0,2.0,3.0,4.0,4.0,3,yes,IAD,ATH ,lufthansa
Lufthansa customer review,1.0,Tan Eng Hui ,2015-07-16,"My family took a long haul flight with Lufthansa to Berlin via Frankfurt. They only give us a transit time of 1 hour 5 mins. By the time we came down from the plane at Frankfurt, I happened to look up at a clock in the airport, and it was already 20 minutes into the transit time. We walked to the gate, and it was a long walk. An airport staff member stopped the whole group of passengers from going down to the immigration clearing area, which we had to pass through before we can reach our gate for the connecting flight to Berlin. He just said the area downstairs was too crowded, so we cannot go down. He held us up for 10-15 mins. Finally, we were allowed to go down, and there were only 6 staff doing the immigration clearance (as compared to over ten in Heathrow airport). That takes another 10 minutes or so. In the end, we reached our gate 2 mins late, and the plane had left without us. After that, customer service was non-existent. This is no fault of ours. They could not put us onto the next few flights as they were all full. We were told to go to the gate to wait and enquire if any passengers didn't show up. We tried this for one flight, and I refused to do it again. The next available flight was 5 hours later. But we would have reached Berlin too late for us to take another connecting flight to London. I have booked this BA flight some 4 hours plus after our supposed arrival time in Berlin. Yet we had to miss it. To add to the insult, we were told we had to take the flight to Berlin, or they would re-calculate the total cost. In the end, we had to pay out to get a connecting flight to London from Lufthansa.",A340,Family Leisure,Economy Class,Singapore to Berlin via Frankfurt,2015-06-01,2.0,2.0,2.0,2.0,1.0,1,no,Singapore,Berlin ,lufthansa
Lufthansa customer review,10.0,Martin Camilleri,2015-07-13,"The long haul IFE now includes a new upgraded touch screen PTV with a much improved content selection, and each seat has a USB charging port. It's airline food, but it's pretty good. Drinks and snacks available throughout the flight. Lufthansa product has greatly improved since the last time I flew this route, two years ago.",A340-600,Solo Leisure,Economy Class,EWR to MUC,2015-06-01,4.0,5.0,4.0,5.0,4.0,5,yes,EWR,MUC,lufthansa
Lufthansa customer review,10.0,Uwe Langhammer,2015-07-09,"I was impressed and happy with the service, friendliness, food and entertainment on board. This was a big improvement to flights last winter with the old Business Class. The crew were great and the 10 hour flight went by quickly. The A380 is quiet and smooth in the air and LH has done some homework and the hard working flight crew made the difference. In my 16 years of flying the captain did greet the Ladies, gentleman and children on board.",A380,Family Leisure,Business Class,Frankfurt to Houston,2015-07-01,4.0,5.0,5.0,5.0,4.0,3,yes,Frankfurt,Houston,lufthansa
Lufthansa customer review,7.0,Ludwik Zabłocki,2015-07-09,"The longest flight of Lufthansa. Crew was professional. Seats not so comfortable like Emirates or Cathay Pacific, but acceptable. For the price I paid, I expected more than I was given. Moreover, considering the lengh of the flight, the service should be very good, but it was decent. Entertainment system was ok and acceptable. To be honest, I don`t have anything to complain, maybe except the space for legs, but it is also difficult to find anything to praise in that service. ",Boeing 747-400,Solo Leisure,Economy Class,Frankfurt to Buenos Aires,2014-09-01,3.0,3.0,4.0,3.0,4.0,3,no,Frankfurt,Buenos Aires,lufthansa
Lufthansa customer review,10.0,Uwe Langhammer,2015-07-09,"I was impressed and happy by the service, friendliness, food and entertainment on board. This was a big improvement to flights last winter with the old Business Class. The crew was great and the 10 hour flight went by fast. The A380 is quiet and smooth in the air and Lufthansa has done some homework and the flight crew made the difference. In my 16 years of flying the captain did not previously greet the passengers onboard. Years ago there was only 1 Purser who did the same thing.",A380,Family Leisure,Business Class,Frankfurt to Houston,2015-07-01,4.0,5.0,5.0,5.0,4.0,3,yes,Frankfurt,Houston,lufthansa
Lufthansa customer review,10.0,Mike Brauns,2015-07-05,"Smooth flight on upper deck of the Boeing 747-8. Seat is very comfortable. Food was excellent, crew upbeat and professional.  Pilot updated us on flight details frequently and a smooth landing. No idea why many critics here demand that the flight attendants smile for 12 hours, I always prefer friendly staff who I trust would act professional in an emergency case instead of a constant smile and no clue what to do if it counts.",Boeing 747-8,Business,Business Class,Haneda to Frankfurt,2015-06-01,5.0,5.0,5.0,5.0,5.0,5,yes,Haneda,Frankfurt,lufthansa
Lufthansa customer review,10.0,M Normann,2015-07-01,"Check-in in Hannover quick, Lufthansa Business Lounge (access due to FTL status) stylish, friendly staff and good offer of drinks and breakfast - even scrambled eggs. Rest I flew Economy. Flight Hannover-Munich short 45 min service with full bar and muesli service. Munich is a great airport to transfer! Lufthansa offers all passgengers free coffee/cappuccion/tea from machines and free newspapers at the gates. Flight Munich-Istanbul also with new onboard connect wireless entertainment system on short/medium haul routes which is a massive improvment. You can use your tablet or notebook and have access to a variety of movies in different languages, music, flight map and: newspapers and magazines in different languages from the same day to download. Hot meal served by charming and professional flight attendends. On time and efficient.",Airbus A320/A321,Solo Leisure,Economy Class,Hannover to Istanbul via Munich,2015-06-01,4.0,5.0,5.0,5.0,5.0,5,yes,Hannover,Istanbul ,lufthansa
Lufthansa customer review,10.0,Martin Gilligan,2015-06-29,"Great airline, great service in Business Class and I love the Boeing 747-8. Super quiet aircraft with open spaces and lots of room for carry-on. IFE not being HD is a bit disappointing for a new aircraft.",Boeing 747-8,Business,Business Class,ORD to PMI via FRA,2015-04-01,5.0,5.0,5.0,4.0,5.0,4,yes,ORD,PMI ,lufthansa
Lufthansa customer review,8.0,H Mutschler,2015-06-27,"TLV to FRA with A321 and then with Lufthansa train to CGN. Check-in was not easy, staff was slow and changed the counter several timers from economy to business to only drop off, so the queues changed and it was a big mix up. Could not upgrade as the plane was full. Flight was almost one hour late before take-off, no information given by ground staff at the gate, even though 5 staff were there. Onboard, crew was nice and service was ok, meal choice was chicken or beef and that was tasty. Arriving in Frankfurt was 15 minutes late,so we had 40 minutes to get to the LH train at the airport-station. Bags did arrive at Air rail-terminal on time, but it was not sure if our oversized luggage would arrive on time. Lost and found was kind to fill up a form, before our LH train leaves. Lost and found did a nice and very good job and they were very good and helpful. So we left for the train, on the platform the train was 5 minutes late, and one of the fine lost and found staff came with our bulk luggage to give it to us. That was a nice touch from the Frankfurt lost and found staff.",A321,Couple Leisure,Economy Class,Tel Aviv to Koeln Hauptbahnhof via FRA,2015-06-01,3.0,5.0,4.0,4.0,5.0,4,yes,Tel Aviv,Koeln Hauptbahnhof ,lufthansa
Lufthansa customer review,8.0,G Pelt,2015-06-27,"Short haul very basic, but excellent staff. Transfer in Frankfurt is quite a hassle, long distances to be walked. Crew on long haul flight were okay. Smiling seems an issue, but service is quick. Seating is pretty okay, both legs on refurbished A340-300 which is a really nice long haul aircraft, quiet and spacious. Quality of food more than decent. Drinks assortment not so good. All in all, good flights for a good price.",A340-300,Solo Leisure,Economy Class,AMS to BKK via FRA,2015-06-01,5.0,4.0,4.0,5.0,5.0,4,yes,AMS,BKK ,lufthansa
Lufthansa customer review,8.0,Wolfgang Adalbert,2015-06-26,"Excellent service on board, seat and bed very good, 3 point harness safety belt (like in your car) during take-off and landing! Entertainment weak, a lot of films but hardly any blockbusters, very poor Flightmap with little information content.  Escorted in LAX from check in to lounge, but they did did not know where the Star Alliance lounge is.",Boeing 747-8,Solo Leisure,First Class,Los Angeles to Frankfurt,2015-06-01,5.0,5.0,5.0,3.0,3.0,4,yes,Los Angeles,Frankfurt,lufthansa
Lufthansa customer review,8.0,M Cristea,2015-06-24,"Bucharest to Aberdeen  return, via Frankfurt. Four uneventful short flights. Clean aircraft, in excellent condition, professional crews, smiling and attentive flight attendants. Ground staff OK too. Downsides: food, (wrapped tasteless sandwiches, only one round of drinks served), no entertainment and poor magazine, announcements from cockpit difficult to hear due to noise in the cabin. I recommend Lufthansa for direct or connection flights in Europe.",A320/ A319,Family Leisure,Economy Class,Bucharest to Aberdeen via FRA,2015-06-01,4.0,5.0,2.0,1.0,5.0,4,yes,Bucharest,Aberdeen ,lufthansa
Lufthansa customer review,8.0,H Mutschler,2015-06-23,"FRA to TLV. Arrived with LH train ticket via high-speed train in Frankfurt. On check in I asked for upgrade, since I have more than enough miles. Upgrade was granted and walked to their lounge in terminal C close to gate 14. This lounge looks like a more basic lounge and as it was before 10a,m the selection seemed limited. But after one hour we boarded the A321 for Tel Aviv. The plane is a basic Lufthansa plane for short haul, so there are no special Business class seats, only the middle seat is free, which gives you no more legroom. The crew was nice and served a pre-drink, as the flight was about 20 minutes late, due to high traffic in the air. Soon after take-off they served a nice Gin and Tonic with nuts. After that they started the food service on a tray. The food was nice with starter, salad, main dish and fruits. After that they served coffee and chocolate. The crew was fab and always smiling and doing a really good job.",A321,Couple Leisure,Business Class,FRA to TLV,2015-06-01,2.0,5.0,4.0,1.0,4.0,4,yes,FRA,TLV,lufthansa
Lufthansa customer review,10.0,P Sob,2015-06-22,"Lufthansa Premium Economy is highly recommended. A comfy seat, professional and very warm service and private cabin on the A380. ",A380,Couple Leisure,Premium Economy,Berlin to San Francisco via Frankfurt,2015-05-01,5.0,5.0,4.0,5.0,3.0,5,yes,Berlin,San Francisco ,lufthansa
Lufthansa customer review,7.0,Adam Jel,2015-06-21,"Overall rating of 7/10. The Lufthansa Business class lounge at Frankfurt is very nice. Great food and ground service. Business class seats are extremely comfortable, spacious and soft, but it costs a lot more than traveling Business class on Air France. The staff is polite. Great experience! Would recommend Lufthansa!",Boeing 747,Business,Business Class,Ottawa to Tunis via Frankfurt,2014-07-01,5.0,3.0,4.0,3.0,4.0,1,yes,Ottawa,Tunis ,lufthansa
Lufthansa customer review,7.0,Paul Rutledge,2015-06-20,Entertainment was very good with large screens and choice of videos. Food was good with very good choice of beverages. The cabin crew was very professional and friendly. No complaints.,Boeing 747,Couple Leisure,Economy Class,Frankfurt to Rio de Janeiro,2015-05-01,4.0,4.0,5.0,5.0,3.0,5,yes,Frankfurt,Rio de Janeiro,lufthansa
Lufthansa customer review,7.0,D Lee,2015-06-19,"The quality of the flight was quite good, especially the meals. The seat was comfortable if sitting upright but less comfortable if you are trying to recline for your night sleep. Overhead storage cabins are sufficient unless your fellow passengers are selfish and store too much there. Plenty of leg room even if I store my bags up front (talking about the window seats though). Service quality by the staff (attitude, promptness and helpfulness) was 4 out of 5. As for meals I was highly impressed because of their setting.  Metal cutlery (not plastic), menu to read, delicate desserts, and nice dishware. Other than that, the food is OK, the dinner being good while breakfast was  poor. Inflight entertainment is satisfactory and caters for different ethnicities, although entertainment systems in some seats could not display programmes listed in  magazine. ",A380,Family Leisure,Economy Class,Hong Kong to Munich,2015-05-01,3.0,4.0,4.0,4.0,3.0,4,yes,Hong Kong,Munich,lufthansa
Lufthansa customer review,5.0,Yannick Jehli,2015-06-18,"Overall flight at average quality for a business class. Seats are not comfortable and ""privacy"" is low. Overall service, quality of food and drinks is good.",B747-8,Business,Business Class,Sao Paulo to Basel via FRA,2015-06-01,1.0,3.0,4.0,4.0,5.0,2,yes,Sao Paulo,Basel ,lufthansa
"""Q-suites are not my thing""",5.0,Mike Andrésen,2021-11-23,"✅ Trip Verified |  Q-suites are not my thing. Even though the screen towards the Isle is nice my seat was so uncomfortable and rock hard and my feet squeezed in tight little wedge in front when you put your seat bed position. Asked when the would turn on the WiFi and the answer was ""it's a new aircraft so there is no WiFi"". It wasn't installed on a brand new aircraft. But as always the service is impeccable. Also miss the shoe box they forgot when they built the Q-suites!",Boeing 787-9,Solo Leisure,Business Class,Phuket to Doha,2021-11-01,1.0,5.0,5.0,4.0,3.0,4,yes,Phuket,Doha,qatar airways
"""super courteous staff""",10.0,Sujeet Singh,2021-11-18,"✅ Trip Verified | Travel through Qatar has been very smooth and it was extra special during these times. Very clean airport and aircraft, super courteous staff. Good food and nice choices of meals. The Qatar app is an added bonus. I really like the baggage notifications that reassures the status of your baggage.",Boeing 777,Family Leisure,Economy Class,Chicago to Kolkata via Doha,2021-11-01,5.0,5.0,5.0,4.0,5.0,5,yes,Chicago,Kolkata ,qatar airways
"""the very best business class seat""",10.0,Francis Wong,2021-11-16,"✅ Trip Verified |  Due to typhoon, my flight from Hong Kong has to be delayed to the next day. They right away informed me via app notification, email, and a phone call (following day business hour). It really put my mind at ease. They changed to an aircraft fitted with Q suite, which is like flying first class. Due to the delay, business class cabin was quite full, but it didn't affect the high level of service. Welcome drinks, pyjama sets, toiletry bag and all. Due to the pandemic, there was no magazines or any reading materials. However, there were printed menu and wine list. Crew wear a face mask. Food was served course by course in generous portion, there was no signs of any cost cutting. Inflight wifi was fast and steady too, only cost USD10 for the entire flight. Qsuite is one of the very best business class seats in the current market. The door gives you an excellent level of privacy. Comfortable large seat with sufficient storage space and comfortable for sleeping position. Throughout the flight crew presence is good, very pro active, they always come around and see if anyone needs a drink or so. A truly wonderful 9 hours just flew by, a very smooth landing. Plane was parked on tarmac, we had to be bussed to the gate. Biz customers get their own bus. Connecting in Doha is a bliss, with security procedures simplified. Fantastic huge Al Mourjan lounge with nice shower facilities and plenty to eat and get a rest. Next flight was on their new 787, fitted with new seats that also come with individual doors! Once again, meal was delicious and plenty, same excellent service all the way to Vienna. It really was one of the top best flight experiences I've ever had, especially after having stayed put for 18 months. It was a wonderful way to come back to traveling again.",A350-900 / Boeing 787,Solo Leisure,Business Class,Hong Kong to Vienna via Doha,2021-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Hong Kong,Vienna ,qatar airways
"""My experience was the best""",8.0,Rizwan Shahid,2021-11-10,"✅ Trip Verified |  Have travelled on Qatar Airways several times, and never been disappointed. My experience was the best with Qatar airways. I would always book air ticket directly from the Qatar airways website , rather than aN agent, particularly in this Covid pandemic",Boeing 787,Solo Leisure,Economy Class,Manchester to Lahore VIA \DOHA,2020-12-01,5.0,4.0,5.0,5.0,4.0,4,yes,Manchester,Lahore VIA \DOHA,qatar airways
"""one of the best products on the market""",8.0,C Hoffmann,2021-11-06,"✅ Trip Verified |  Boarding was a bit strange with no clear signage as to where business class was supposed to board. We went to one line but where told they were not boarding yet even though we showed them our tickets. After standing around for 10 minutes we noticed several people going to a separate line and being allowed through, turn out this was the line for business class. Onboard staff were very friendly and set up the Q-Suite for us. Service was prompt with welcome drinks served and orders taken for the meal. For some reason even though the flight departs at 01:45 Qatar serves a light supper instead of a breakfast option on arrival, chose the soup which was really good and then had one of the best sleeps ever on a plane. Qatar has to have one of the best products on the market at the moment and will be my carrier of choice if the route is convenient.",Boeing 777-300,Family Leisure,Business Class,Doha to Male,2021-09-01,5.0,5.0,4.0,5.0,3.0,5,yes,Doha,Male,qatar airways
"""I will always pick Qatar over any other airline""",10.0,Shabbir Hossain,2021-11-01,"✅ Trip Verified | This is my fourth time flying Qatar in business class, I have flown Qatar in the economy a few times in the past. While the experience of the flying economy was always great, flying business class takes it to a totally new level. I have flown business class with Emirates and American before, but none of them come even close to what Qatar offers. To start off, Qatar is the only airline that offers on-demand dining, it feels like I am in a 5-star restaurant, the food quality and the in-flight service are always superb, the staff both ground and in-flight are well trained and very professional. I am positive the business class experience in Qatar is better than most airlines first-class service. On my last flight, I chose a lobster dish for my dinner, I can honestly say it was better than any other lobster dish I have tried in many fancy restaurants. Last but not the least, the lounge at Doha airport is one of the best I have ever experienced, from the shower facility to the quality of the food, simply amazing. Please keep it up and I will always pick Qatar over any other airline.",A350-900,Solo Leisure,Business Class,Dhaka to Atlanta via Doha,2021-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Dhaka,Atlanta ,qatar airways
"""rather fly B787-8 without Q-suites""",6.0,Mike Andrésen,2021-10-31,"✅ Trip Verified |  Service as always on point. Lots of children in business class. Qatar Q-suites even it's nice with the screen towards the aisle, the seats are hard and uncomfortable. I rather fly B787-8 without Q-suites and no Wi-Fi.",Boeing 787-9,Solo Leisure,Business Class,Doha to Phuket,2021-10-01,2.0,5.0,5.0,4.0,4.0,4,yes,Doha,Phuket,qatar airways
"""Perfect, can't say anything else""",8.0,Mike Andrésen,2021-10-31,"✅ Trip Verified |  Perfect, can't say anything else. Smooth check-in, comfortable seat, perfect service, great Covid-handling. Wi-Fi on board didn't work. Only downside is that Stockholm Arlanda Airport don't have any lounge service anymore. ",Boeing 787-8,Solo Leisure,Business Class,Stockholm to Doha,2021-10-01,5.0,5.0,5.0,5.0,1.0,4,yes,Stockholm,Doha,qatar airways
"""Amazing job Qatar Airways""",10.0,Liviu Preda,2021-10-27,"✅ Trip Verified |  After some flights with some american airlines, I realized again, that it's no comparison regarding anything with Qatar Airways. From planes, through boarding, lounges or services the difference it's fantastic. Amazing job Qatar Airways. This is the reason that I always choose you even if I have to fly longer. Thank you!",A 350,Solo Leisure,Business Class,Los Angeles to Bucharest via Dha,2021-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Los Angeles,Bucharest ,qatar airways
"""cabin services were good""",9.0,D Lanaveda,2021-10-26,✅ Trip Verified |  The flight was not full. I was able to occupy the 3 seats giving me a comfortable flight for 14 hours. The cabin services were good and the FAs were very accommodating.,Boeing 777,Solo Leisure,Economy Class,Doha to Chicago,2021-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Doha,Chicago,qatar airways
"""business class experience was good""",10.0,D Lanaveda,2021-10-26,✅ Trip Verified |  The business class experience was good. The amenities are impeccable and the FAs services were personal and warm. The Q-suite lived up to its expectation.,Boeing 777,Solo Leisure,Business Class,Chicago to Doha,2021-09-01,5.0,5.0,5.0,5.0,5.0,5,yes,Chicago,Doha,qatar airways
"""the QR experience was top notch""",10.0,Brett Stewart,2021-10-21,"✅ Trip Verified |  We were originally scheduled to fly SFO-DOH-MEL however due to Australian passenger arrival caps, the DOH-MEL sector was cancelled and QR offered to reroute us into BNE two days after our original departure date. This was sincerely appreciated, particularly given our experience with other carriers flying into Australia who cancelled close to departure without any help in rescheduling or rerouting. As always, the QR experience was top notch. The QSuite and bedding were extremely comfortable, food very good, wine list outstanding and cabin crew service exemplary. Check-in and transit in Doha were seamless. I was a big fan of QR before this experience, however the way in which they handled our re-accommodated into Brisbane has now earned them my loyalty. A stark contrast to other carriers flying into Australia during the pandemic.",A350-1000 / Boeing 777-300ER,Business,Business Class,San Francisco to Brisbane via Doha,2021-10-01,5.0,5.0,5.0,5.0,5.0,4,yes,San Francisco,Brisbane ,qatar airways
"""two wonderful cabin crew members""",7.0,Nicholas Onyango,2021-09-29,"✅ Trip Verified |  A long flight between NY and Doha. I would like to thank two wonderful cabin crew members who made the trip bearable, Safiya and Sive. Their services were impeccable, ensured a constant smile and always wanted to know how the travellers were fairing, and made sure that we were well taken care of throughout the journey. ",Boeing 777-300ER,Solo Leisure,Economy Class,New York to Nairobi via Doha,2021-09-01,4.0,5.0,4.0,4.0,4.0,4,yes,New York,Nairobi ,qatar airways
"""Staff were incredibly friendly and always on hand""",9.0,C Hoffmann,2021-09-23,"✅ Trip Verified | First time flying Qatar in any class and I have to say I am impressed. Check-in was a bit slow but with all the paper work required it was to be expected. For what ever reason we were denied access to the lounge even though we paid for the full fare ticket, ended up using the priority pass instead. Lounge was average and if it wasn’t free I doubt I would bother. Boarding started on time with priority for business class given and we were soon seated. Welcome drink offered HD seat explained. Unfortunately QR have stopped offering Q suites from Munich, can’t be lack of demand as the flight was full. Staff were incredibly friendly and always on hand, nothing was too much trouble. Flight left and arrived on time.",Boeing 787-8,Family Leisure,Business Class,Munich to Doha,2021-09-01,4.0,5.0,5.0,5.0,3.0,4,yes,Munich,Doha,qatar airways
